scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,n_years_at_cell,transient,hull_search_radius_m,n_hull_candidates,hull_length_m,hull_aspect,hull_size_class,hull_nir_snr,hull_offset_m
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.266267,48.849792,57.9,116.5,116.5,0.148,2.01,0,4.054,AB,,>24m,1,1,88.2,1,68.7,1.73,>24m,15.03,17.8
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.268237,48.843328,25.2,50.5,50.5,0.0889,2.0,0,3.321,AB,,>24m,1,1,55.2,1,18.3,2.57,12-24m,7.95,1.5
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.218575,48.833611,16.3,58.3,58.3,0.0735,3.58,1,4.875,AB,,>24m,5,0,59.1,1,30.0,1.11,>24m,25.49,19.7
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.28874,48.798754,60.2,130.8,130.8,0.0516,2.17,0,1.881,AB,,>24m,1,1,95.4,1,7.2,1.41,0-12m,7.13,3.7
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.328743,48.84519,36.2,102.5,102.5,0.2,2.83,1,5.052,AB,,>24m,1,1,81.2,1,75.0,2.5,>24m,27.05,29.6
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.326902,48.843898,24.3,68.3,68.3,0.0944,2.81,1,4.855,A,,>24m,1,1,64.2,0,,,,,
20250808_194820_59_2539,2025-08-08T19:48:20.590007Z,-125.216765,48.790648,26.6,56.9,56.9,0.1284,2.14,0,5.211,AB,,>24m,1,1,58.5,1,21.0,1.75,12-24m,8.02,3.0
20250825_193929_84_251f,2025-08-25T19:39:29.847462Z,-125.213894,48.806503,33.3,90.6,90.6,0.0795,2.72,1,4.792,A,,>24m,1,1,75.3,0,,,,,
20250825_193929_84_251f,2025-08-25T19:39:29.847462Z,-125.213789,48.806718,44.9,136.8,136.8,0.0752,3.05,1,4.795,A,,>24m,1,1,98.4,0,,,,,
20250825_193929_84_251f,2025-08-25T19:39:29.847462Z,-125.251607,48.83712,43.4,99.2,99.2,0.0501,2.28,0,3.21,A,,>24m,1,1,79.6,0,,,,,
