scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.234519,48.789592,24.6,78.5,78.5,0.976,3.19,1,4.222,B,22.05,>24m,0.5259,24.6,113,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.310644,48.853492,13.7,16.4,16.4,0.9759,1.2,0,4.974,B,22.03,12-24m,0.7186,13.7,18,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.238007,48.815209,12.4,13.7,13.7,0.9758,1.11,0,2.96,B,22.02,12-24m,0.7404,12.4,14,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.3191,48.799798,5.1,7.2,7.2,0.9757,1.41,0,3.399,B,22.0,0-12m,0.7279,5.1,3,1,1
20230606_182515_18_245c,2023-06-06T18:25:15.188284Z,-125.343355,48.840481,27.1,56.7,56.7,0.9757,2.09,0,5.601,B,21.98,>24m,0.7254,27.1,124,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.260628,48.828512,38.8,96.0,96.0,0.9755,2.48,0,2.053,B,21.95,>24m,0.6384,38.8,264,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.221284,48.835533,80.8,90.2,90.2,0.9752,1.12,0,4.811,B,21.9,>24m,0.5346,80.8,433,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.234988,48.829984,30.0,33.0,33.0,0.9752,1.1,0,3.631,B,21.9,>24m,0.6636,30.0,73,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.227529,48.82592,13.7,15.1,15.1,0.9751,1.1,0,3.948,B,21.87,12-24m,0.6521,13.7,15,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.338272,48.836534,46.8,92.9,92.9,0.975,1.98,0,5.057,B,21.85,>24m,0.5397,46.8,261,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.313355,48.819345,26.3,28.5,28.5,0.975,1.08,0,2.639,B,21.84,>24m,0.6726,26.3,56,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.327569,48.835615,31.8,83.2,83.2,0.9748,2.62,1,4.333,B,21.81,>24m,0.5511,31.8,162,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.31904,48.829392,16.1,37.9,37.9,0.9746,2.36,0,3.437,B,21.76,>24m,0.6339,16.1,43,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.321318,48.847919,12.0,18.0,18.0,0.9745,1.5,0,4.904,B,21.75,12-24m,0.875,12.0,21,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.315648,48.837125,19.3,40.0,40.0,0.9741,2.07,0,3.746,B,21.67,>24m,0.6422,19.3,55,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.322113,48.84558,13.6,17.8,17.8,0.9739,1.31,0,4.747,B,21.63,12-24m,0.7411,13.6,20,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.221229,48.775938,9.0,12.0,12.0,0.9732,1.33,0,5.973,B,21.49,12-24m,0.8333,9.0,10,1,1
20220816_182157_60_2457,2022-08-16T18:21:57.609790Z,-125.33484,48.84845,15.0,21.0,21.0,0.973,1.4,0,5.635,B,21.46,12-24m,0.6571,15.0,23,1,1
20210824_181728_61_1067,2021-08-24T18:17:28.610209Z,-125.33578,48.835667,21.4,56.4,56.4,0.9728,2.63,1,4.851,B,21.42,>24m,0.6397,21.4,86,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.227688,48.844901,17.8,26.3,26.3,0.9719,1.48,0,5.045,B,21.25,>24m,0.7276,17.8,38,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.312733,48.854855,25.8,33.9,33.9,0.9717,1.31,0,5.181,B,21.22,>24m,0.7416,25.8,72,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.299016,48.857357,5.1,7.2,7.2,0.9714,1.41,0,5.035,B,21.17,0-12m,0.7279,5.1,3,1,1
20220816_182157_60_2457,2022-08-16T18:21:57.609790Z,-125.304454,48.854882,22.2,77.5,77.5,0.9714,3.49,1,4.915,B,21.16,>24m,0.5599,22.2,107,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.311252,48.856147,15.0,18.0,18.0,0.9704,1.2,0,5.256,B,20.99,12-24m,0.7667,15.0,23,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.254195,48.825537,34.2,37.2,37.2,0.9702,1.09,0,2.172,B,20.96,>24m,0.7499,34.2,106,1,1
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.22951,48.814978,32.3,71.0,71.0,0.9701,2.2,0,3.583,B,20.94,>24m,0.4672,32.3,119,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.318506,48.830693,15.0,21.0,21.0,0.9699,1.4,0,3.477,B,20.91,12-24m,0.8,15.0,28,1,1
20250808_194820_59_2539,2025-08-08T19:48:20.590007Z,-125.251327,48.833685,26.4,52.2,52.2,0.9699,1.97,0,2.935,B,20.91,>24m,0.7441,26.4,114,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.251496,48.853302,13.6,20.0,20.0,0.9694,1.47,0,4.772,B,20.82,12-24m,0.7618,13.6,23,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.226095,48.795665,44.0,89.9,89.9,0.9691,2.04,0,4.352,B,20.77,>24m,0.5735,44.0,252,1,1
