scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.211509,48.849277,3.0,6.0,6.0,0.5879,2.0,0,6.265,B,6.74,0-12m,1.0,3.0,2,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.268815,48.847677,3.0,6.0,6.0,0.5689,2.0,0,3.787,B,6.46,0-12m,1.0,3.0,2,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.294542,48.846564,9.4,11.5,11.5,0.8387,1.23,0,3.792,B,12.17,0-12m,0.7532,9.4,9,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.276298,48.846774,3.0,6.0,6.0,0.5913,2.0,0,3.625,B,6.8,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.27744,48.846697,3.0,6.0,6.0,0.5742,2.0,0,3.614,B,6.54,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.276373,48.84661,3.0,6.0,6.0,0.5862,2.0,0,3.607,B,6.72,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.269241,48.846252,3.0,9.0,9.0,0.6079,3.0,1,3.626,B,7.06,0-12m,1.0,3.0,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.277749,48.845855,3.0,7.2,7.2,0.5619,2.41,0,3.52,B,6.36,0-12m,0.8284,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.276776,48.845577,3.0,6.0,6.0,0.5759,2.0,0,3.491,B,6.56,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.272257,48.845572,3.0,6.0,6.0,0.5759,2.0,0,3.517,B,6.56,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.272953,48.845496,9.0,15.0,15.0,0.6576,1.67,0,3.502,B,7.89,12-24m,0.6667,9.0,10,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.272684,48.845523,3.0,6.0,6.0,0.5457,2.0,0,3.507,B,6.12,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.216012,48.846599,3.0,6.0,6.0,0.5776,2.0,0,5.821,B,6.59,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.273295,48.84547,3.0,9.0,9.0,0.5707,3.0,1,3.497,B,6.49,0-12m,1.0,3.0,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.273172,48.845459,3.0,6.0,6.0,0.5794,2.0,0,3.496,B,6.62,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.219644,48.846422,3.0,6.0,6.0,0.5689,2.0,0,5.601,B,6.46,0-12m,1.0,3.0,2,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.2786,48.84523,3.0,9.0,9.0,0.6806,3.0,1,3.451,B,8.3,0-12m,1.0,3.0,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.274092,48.84531,5.1,7.2,7.2,0.6192,1.41,0,3.473,B,7.24,0-12m,0.7279,5.1,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.273923,48.845336,3.0,7.2,7.2,0.5672,2.41,0,3.477,B,6.43,0-12m,0.8284,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.275265,48.845175,6.0,6.0,6.0,0.5776,1.0,0,3.452,B,6.59,0-12m,1.0,6.0,4,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.27866,48.845045,5.8,15.3,15.3,0.6319,2.62,1,3.43,B,7.45,12-24m,0.6024,5.8,6,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.323344,48.844027,11.5,11.5,11.5,0.9274,1.0,0,4.685,B,16.4,0-12m,0.8187,11.5,12,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.277029,48.844843,3.0,6.0,6.0,0.6303,2.0,0,3.409,B,7.42,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.277102,48.844653,3.0,6.0,6.0,0.5997,2.0,0,3.388,B,6.93,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.278672,48.844554,3.0,6.0,6.0,0.6256,2.0,0,3.376,B,7.34,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.279056,48.844452,3.0,6.0,6.0,0.5637,2.0,0,3.365,B,6.38,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.2772,48.84434,7.2,7.2,7.2,0.6079,1.0,0,3.353,B,7.06,0-12m,0.6863,7.2,4,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.278516,48.843829,5.8,21.0,21.0,0.624,3.6,1,3.295,B,7.32,12-24m,0.5858,5.8,8,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.3401,48.8425,3.0,6.0,6.0,0.6381,2.0,0,5.523,B,7.55,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.279347,48.843664,3.0,6.0,6.0,0.6192,2.0,0,3.277,B,7.24,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.277466,48.843674,3.0,6.0,6.0,0.6224,2.0,0,3.278,B,7.29,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.278608,48.843597,3.0,6.0,6.0,0.5794,2.0,0,3.269,B,6.62,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.278661,48.843421,3.0,6.0,6.0,0.5637,2.0,0,3.25,B,6.38,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.281428,48.842887,6.0,9.0,9.0,0.6256,1.5,0,3.199,B,7.34,0-12m,0.6667,6.0,4,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.281614,48.84279,9.0,15.0,15.0,0.7226,1.67,0,3.189,B,9.13,12-24m,0.6667,9.0,10,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.277847,48.842692,5.7,12.4,12.4,0.5963,2.18,0,3.169,B,6.87,12-24m,0.639,5.7,5,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.340609,48.84114,3.0,6.0,6.0,0.6272,2.0,0,5.47,B,7.37,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.278416,48.841172,3.0,6.0,6.0,0.5475,2.0,0,2.999,B,6.15,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.341118,48.83978,3.0,6.0,6.0,0.6381,2.0,0,5.421,B,7.55,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210282,48.842324,5.7,15.1,15.1,0.7239,2.65,1,5.891,B,9.16,12-24m,0.6303,5.7,6,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210411,48.841984,3.0,6.0,6.0,0.593,2.0,0,5.863,B,6.82,0-12m,1.0,3.0,2,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210466,48.841848,4.9,18.2,18.2,0.6664,3.71,1,5.852,B,8.04,12-24m,0.6065,4.9,6,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210521,48.841698,3.0,9.0,9.0,0.598,3.0,1,5.84,B,6.9,0-12m,1.0,3.0,3,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210557,48.841603,3.0,6.0,6.0,0.5845,2.0,0,5.832,B,6.69,0-12m,1.0,3.0,2,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210594,48.841508,3.0,9.0,9.0,0.6144,3.0,1,5.824,B,7.16,0-12m,1.0,3.0,3,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.341445,48.83891,3.0,6.0,6.0,0.5457,2.0,0,5.391,B,6.12,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210649,48.841358,4.9,18.2,18.2,0.7164,3.71,1,5.812,B,9.0,12-24m,0.6065,4.9,6,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210704,48.841222,3.0,6.0,6.0,0.6833,2.0,0,5.801,B,8.35,0-12m,1.0,3.0,2,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210741,48.841127,3.0,9.0,9.0,0.6208,3.0,1,5.793,B,7.26,0-12m,1.0,3.0,3,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.3417,48.838243,3.0,9.0,9.0,0.6272,3.0,1,5.37,B,7.37,0-12m,1.0,3.0,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.21096,48.840529,3.0,9.0,9.0,0.7087,3.0,1,5.745,B,8.85,0-12m,1.0,3.0,3,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.210997,48.840434,3.0,6.0,6.0,0.5776,2.0,0,5.737,B,6.59,0-12m,1.0,3.0,2,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.211049,48.840308,6.0,15.0,15.0,0.6192,2.5,1,5.727,B,7.24,12-24m,0.7,6.0,7,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.211097,48.840162,4.9,12.5,12.5,0.6562,2.55,1,5.715,B,7.86,12-24m,0.5887,4.9,4,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.211158,48.839997,5.8,18.2,18.2,0.6576,3.11,1,5.702,B,7.89,12-24m,0.5928,5.8,7,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.211326,48.839564,3.0,6.0,6.0,0.6272,2.0,0,5.668,B,7.37,0-12m,1.0,3.0,2,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.323858,48.837026,3.0,6.0,6.0,0.5776,2.0,0,4.201,B,6.59,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.211595,48.838853,5.1,7.2,7.2,0.5689,1.41,0,5.611,B,6.46,0-12m,0.7279,5.1,3,2,0
